species_name,latitude,longitude,coordinate_uncertainty
Fraxinus excelsior,51.917028,0.839038,8.0
Fraxinus excelsior,51.283632,-2.478466,10.0
Fraxinus excelsior,52.603901,-2.136139,15.0
Fraxinus excelsior,53.35905,-2.879809,4.0
Fraxinus excelsior,53.611017000000004,-2.817613,8.0
Fraxinus excelsior,52.480185,-2.099644,15.0
Fraxinus excelsior,55.046293999999996,-1.8742189999999999,16.0
Fraxinus excelsior,53.605655000000006,-2.842278,6.0
Fraxinus excelsior,51.0604,0.385058,24.0
Fraxinus excelsior,51.198831,-4.06228,16.0
Fraxinus excelsior,53.368719999999996,-2.877925,8.0
Fraxinus excelsior,53.362767000000005,-2.778988,1.0
Fraxinus excelsior,51.380958,-2.80413,83.0
Fraxinus excelsior,53.615396999999994,-2.834778,6.0
Fraxinus excelsior,53.35436,-2.841669,1.0
Fraxinus excelsior,52.461443,-2.068248,12.0
Fraxinus excelsior,52.230616999999995,1.277172,4.0
Fraxinus excelsior,53.565596,-3.050764,26.0
Fraxinus excelsior,51.448111,-2.793776,6.0
Fraxinus excelsior,52.816142000000006,-2.3219950000000003,1799.0
Fraxinus excelsior,53.630658,-2.447844,17.0
Fraxinus excelsior,53.363074,-2.781901,4.0
Fraxinus excelsior,51.0997,-2.973395,59.0
Fraxinus excelsior,53.362818000000004,-2.7797709999999998,1.0
Fraxinus excelsior,52.160688,0.187459,8.0
Fraxinus excelsior,52.418876000000004,-1.8766049999999999,50.0
Fraxinus excelsior,51.883653,-2.3239919999999996,2951.0
Fraxinus excelsior,51.07076,-4.127004,32.0
Fraxinus excelsior,55.788405000000004,-4.265668,50.0
Fraxinus excelsior,53.587875,-2.853337,165.0
Fraxinus excelsior,52.598648,-3.8624059999999996,3.0
Fraxinus excelsior,52.59050799999999,-2.141861,392.0
Fraxinus excelsior,53.644405000000006,-2.82327,16.0
Fraxinus excelsior,53.389035,-1.50986,6.0
Fraxinus excelsior,53.384452,-2.693869,2.0
Fraxinus excelsior,53.380807,-2.869759,4.0
Fraxinus excelsior,53.383378,-2.700717,4.0
Fraxinus excelsior,53.38085,-2.86964,4.0
